127.0.0.1, 2017-04-26 18:11:31, GET, /, HTTP/1.1, 303, 0.007000
127.0.0.1, 2017-04-26 18:11:34, GET, /welcome/default/index, HTTP/1.1, 200, 2.424000
127.0.0.1, 2017-04-26 18:11:34, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:11:34, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:11:34, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-04-26 18:11:34, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-04-26 18:11:34, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-04-26 18:11:34, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-04-26 18:11:34, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:11:34, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:11:34, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-04-26 18:11:34, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:11:36, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-04-26 18:11:36, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:11:38, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:11:38, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:11:38, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:11:38, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/default/index, HTTP/1.1, 200, 0.559000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-04-26 18:11:51, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:11:52, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:11:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-26 18:13:45, POST, /admin/default/index, HTTP/1.1, 303, 0.167000
127.0.0.1, 2017-04-26 18:13:46, GET, /admin/default/site, HTTP/1.1, 200, 0.259000
127.0.0.1, 2017-04-26 18:13:47, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:13:47, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:13:47, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:13:48, POST, /admin/default/check_version, HTTP/1.1, 200, 1.198000
127.0.0.1, 2017-04-26 18:13:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-26 18:13:56, GET, /examples/default/index, HTTP/1.1, 200, 0.074000
127.0.0.1, 2017-04-26 18:13:57, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:13:57, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:13:57, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:13:57, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:13:57, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-04-26 18:13:57, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-04-26 18:13:57, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-04-26 18:13:57, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:13:57, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:13:57, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:13:57, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:13:57, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:13:58, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-04-26 18:14:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.170000
127.0.0.1, 2017-04-26 18:14:09, GET, /admin/default/design/welcome, HTTP/1.1, 200, 1.059000
127.0.0.1, 2017-04-26 18:14:09, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.020000
127.0.0.1, 2017-04-26 18:14:09, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:14:09, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-04-26 18:14:09, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-04-26 18:14:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-26 18:14:17, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.279000
127.0.0.1, 2017-04-26 18:14:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-26 18:14:21, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.288000
127.0.0.1, 2017-04-26 18:14:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-04-26 18:16:52, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2017-04-26 18:16:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.121000
127.0.0.1, 2017-04-26 18:16:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:16:52, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-04-26 18:16:52, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-04-26 18:16:52, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-04-26 18:16:52, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-04-26 18:16:52, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-04-26 18:16:52, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-04-26 18:16:52, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-04-26 18:16:52, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-04-26 18:16:52, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-04-26 18:16:53, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:16:53, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:16:53, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:16:53, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:16:53, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:21:09, GET, /, HTTP/1.1, 303, 0.005000
127.0.0.1, 2017-04-26 18:21:10, GET, /welcome/default/index, HTTP/1.1, 200, 1.146000
127.0.0.1, 2017-04-26 18:22:30, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 303, 0.315000
127.0.0.1, 2017-04-26 18:22:30, GET, /admin/default/index, HTTP/1.1, 200, 0.122000
